A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	NGC0685   	026.92841	-52.76198	 9.853	 15.200
 	NGC0691   	027.67377	+21.75999	10.754	 36.922
 	NGC0693   	027.62848	+06.14531	10.036	 20.750
 	NGC0701   	027.76531	-09.70290	10.156	 22.711
 	NGC0718   	028.30534	+04.19576	10.283	 21.400
 	NGC0723   	028.44035	-23.75773	 9.549	
 	NGC0755   	029.09446	-09.06143	 9.684	 20.185
 	NGC0772   	029.83139	+19.00766	11.151	 30.305
 	NGC0779   	029.92768	-05.96424	10.354	 17.678
 	NGC0784   	030.32055	+28.83725	 8.495	  4.621
 	NGC0803   	030.93626	+16.03105	 9.997	 24.653
 	NGC0814   	032.65672	-15.77344	 9.158	
 	NGC0855   	033.51466	+27.87728	 9.165	  9.730
 	NGC0864   	033.86512	+06.00250	10.184	 18.767
 	NGC4631   	190.53253	+32.54291	10.127	  6.050
 	NGC4632   	190.63330	-00.08250	10.028	 18.518
 	NGC4633   	190.65578	+14.35722	 9.523	 22.600
 	NGC4634   	190.66950	+14.29830	 8.655	
 	NGC4635   	190.66340	+19.94529	 9.738	 23.500
 	NGC4636   	190.70772	+02.68779	      	 16.240
 	NGC4639   	190.71830	+13.25746	10.317	 22.356
 	NGC4641   	190.78190	+12.05125	 9.793	
 	NGC4642   	190.82409	-00.64427	10.166	 42.414
 	NGC4643   	190.83392	+01.97836	11.028	 25.700
 	NGC4647   	190.88536	+11.58257	      	 18.300
 	NGC4651   	190.92770	+16.39335	10.844	 26.708
 	NGC4653   	190.96218	-00.56131	10.321	 40.200
 	NGC4654   	190.98578	+13.12668	10.485	 16.362
 	NGC4656   	190.99118	+32.16941	 8.927	  6.335
 	NGC4658   	191.15731	-10.08333	10.228	 31.780
 	NGC4659   	191.12245	+13.49854	 9.159	
 	NGC4666   	191.28594	-00.46199	10.853	 18.225
 	NGC4668   	191.38334	-00.53581	 9.235	 16.433
 	NGC4680   	191.72812	-11.63712	10.375	 36.625
 	NGC4682   	191.81463	-10.06337	10.303	 33.029
 	NGC4684   	191.82305	-02.72736	10.205	 19.300
 	NGC4688   	191.94382	+04.33594	 9.667	 17.100
 	NGC4689   	191.93989	+13.76275	10.495	 17.891
 	NGC4691   	192.05796	-03.33336	10.479	 22.500
 	NGC4694   	192.06271	+10.98372	 9.892	 15.302
 	NGC4698   	192.09546	+08.48736	10.848	 23.650
 	NGC4699   	192.25917	-08.66433	11.334	 24.700
 	NGC4700   	192.28414	-11.40978	 9.548	 15.620
 	PGC041965 	188.90715	-07.87676	 9.416	 19.400
 	PGC042068 	189.14577	+08.05476	 9.230	
 	PGC042160 	189.42315	+08.55880	 8.741	 16.100
 	PGC042559 	190.34541	-03.05765	 9.020	
