ID,Survey,RA,Dec,Type
61,11HUGS,50.030833,-52.185278,Decimal
62,11HUGS,50.09875,17.295833,Decimal
63,11HUGS,50.365417,40.801667,Decimal
64,11HUGS,51.03,17.753333,Decimal
65,11HUGS,53.299167,-50.410556,Decimal
66,11HUGS,56.70375,68.096111,Decimal
67,11HUGS,57.280417,-48.858611,Decimal
68,11HUGS,57.920417,-38.452222,Decimal
69,11HUGS,58.942083,-42.368056,Decimal
70,11HUGS,59.815,-45.8725,Decimal
71,11HUGS,59.95875,67.143611,Decimal
72,11HUGS,60.885833,-43.4,Decimal
73,11HUGS,60.97625,-43.349167,Decimal
74,11HUGS,61.532083,-52.669167,Decimal
75,11HUGS,61.706667,-21.174722,Decimal
76,11HUGS,63.172083,-23.16,Decimal
77,11HUGS,64.435417,-50.164444,Decimal
78,11HUGS,65.30625,-21.845556,Decimal
79,11HUGS,67.42,-27.408611,Decimal
80,11HUGS,67.704167,64.848056,Decimal
81,11HUGS,68.020417,63.613611,Decimal
82,11HUGS,68.19875,71.879444,Decimal
83,11HUGS,71.569583,-57.343056,Decimal
84,11HUGS,72.14375,0.241667,Decimal
85,11HUGS,72.871667,-61.650833,Decimal
86,11HUGS,73.557083,-53.361389,Decimal
87,11HUGS,74.244583,-42.803889,Decimal
88,11HUGS,74.99,-26.021944,Decimal
89,11HUGS,75.678333,-61.139722,Decimal
90,11HUGS,75.832083,-25.423056,Decimal
91,11HUGS,76.600417,-31.953056,Decimal
92,11HUGS,76.605833,-31.954167,Decimal
93,11HUGS,76.92625,-37.512778,Decimal
94,11HUGS,77.031667,-38.309167,Decimal
95,11HUGS,77.695833,-31.597222,Decimal
96,11HUGS,77.997083,-32.9725,Decimal
97,11HUGS,78.5625,62.575278,Decimal
98,11HUGS,80.89375,-69.756111,Decimal
99,11HUGS,81.247917,4.505,Decimal
100,11HUGS,81.77375,-20.678056,Decimal
101,11HUGS,84.742917,-41.737222,Decimal
102,11HUGS,87.72625,-14.779167,Decimal
103,11HUGS,88.9275,3.391667,Decimal
104,11HUGS,89.921667,73.4275,Decimal
105,11HUGS,91.438333,-33.080833,Decimal
106,11HUGS,91.830417,-34.204722,Decimal
107,11HUGS,92.539583,-34.106111,Decimal
108,11HUGS,92.817917,-21.599167,Decimal
109,11HUGS,95.23125,-8.495,Decimal
110,11HUGS,97.62,39.503889,Decimal
111,11HUGS,101.450833,-47.531111,Decimal
112,11HUGS,101.940833,80.123889,Decimal
113,11HUGS,102.66625,-52.140278,Decimal
114,11HUGS,103.916667,39.095278,Decimal
115,11HUGS,106.328333,-58.520278,Decimal
116,11HUGS,107.55625,44.457222,Decimal
117,11HUGS,110.685417,45.108611,Decimal
118,11HUGS,112.071667,40.77,Decimal
119,11HUGS,112.2275,69.215833,Decimal
120,11HUGS,112.322917,27.899444,Decimal
121,11HUGS,112.825833,-68.188056,Decimal
122,11HUGS,114.11625,-47.634722,Decimal
123,11HUGS,114.214167,65.6025,Decimal
124,11HUGS,115.358333,40.112222,Decimal
125,11HUGS,115.480833,16.8025,Decimal
126,11HUGS,116.88375,51.191389,Decimal
127,11HUGS,119.2575,14.390833,Decimal
128,11HUGS,120.472083,50.7375,Decimal
129,11HUGS,123.31125,45.990556,Decimal
130,11HUGS,123.495417,45.742778,Decimal
131,11HUGS,124.766667,70.719167,Decimal
132,11HUGS,124.83375,50.006944,Decimal
133,11HUGS,125.983333,71.029167,Decimal
134,11HUGS,126.48125,35.542222,Decimal
135,11HUGS,127.118333,41.856667,Decimal
136,11HUGS,128.53,66.181667,Decimal
137,11HUGS,129.064167,-26.409444,Decimal
138,11HUGS,129.2625,69.775278,Decimal
139,11HUGS,133.1725,33.420556,Decimal
140,11HUGS,134.75125,39.21,Decimal
141,11HUGS,135.724167,20.075556,Decimal
142,11HUGS,136.895417,33.276667,Decimal
143,11HUGS,137.222917,14.581944,Decimal
144,11HUGS,137.44375,-23.009167,Decimal
145,11HUGS,138.08125,-24.1725,Decimal
146,11HUGS,138.300417,-19.408611,Decimal
147,11HUGS,139.470417,-22.355,Decimal
148,11HUGS,139.875,21.603333,Decimal
149,11HUGS,140.367083,-22.501944,Decimal
150,11HUGS,141.300417,68.383056,Decimal
151,11HUGS,141.547917,-76.626667,Decimal
152,11HUGS,143.042083,21.501111,Decimal
153,11HUGS,143.151667,51.871944,Decimal
154,11HUGS,143.687083,6.425556,Decimal
155,11HUGS,143.7225,17.051389,Decimal
156,11HUGS,145.112917,48.3375,Decimal
157,11HUGS,145.134583,71.182222,Decimal
158,11HUGS,146.182917,9.615278,Decimal
159,11HUGS,146.2675,32.238333,Decimal
160,11HUGS,146.81375,67.916667,Decimal
161,11HUGS,147.580833,31.455833,Decimal
162,11HUGS,147.593333,31.487778,Decimal
163,11HUGS,147.820833,7.8275,Decimal
164,11HUGS,147.847917,-27.01,Decimal
165,11HUGS,148.452083,68.969167,Decimal
166,11HUGS,148.888333,69.065278,Decimal
167,11HUGS,148.9675,69.679722,Decimal
168,11HUGS,149.190417,28.826389,Decimal
169,11HUGS,149.262917,68.591944,Decimal
170,11HUGS,149.383333,69.045833,Decimal
171,11HUGS,149.6925,-28.621944,Decimal
172,11HUGS,149.83625,-28.131667,Decimal
173,11HUGS,149.86,30.746389,Decimal
174,11HUGS,150.000417,5.332222,Decimal
175,11HUGS,150.65,-6.013611,Decimal
176,11HUGS,150.7775,-26.158889,Decimal
177,11HUGS,150.835833,68.734444,Decimal
178,11HUGS,150.924167,-27.027778,Decimal
179,11HUGS,151.10875,-28.444167,Decimal
180,11HUGS,151.170833,29.365278,Decimal
181,11HUGS,151.276667,66.558889,Decimal
182,11HUGS,151.308333,-7.718611,Decimal
183,11HUGS,151.3775,70.364444,Decimal
184,11HUGS,151.64,-29.935833,Decimal
185,11HUGS,151.780417,15.984444,Decimal
186,11HUGS,151.829167,47.006111,Decimal
187,11HUGS,151.831667,10.362778,Decimal
188,11HUGS,151.845833,38.969444,Decimal
189,11HUGS,152.28125,-29.064444,Decimal
190,11HUGS,152.753333,-4.692778,Decimal
191,11HUGS,153.675417,-28.871944,Decimal
192,11HUGS,156.273333,17.160278,Decimal
193,11HUGS,157.087083,22.571389,Decimal
194,11HUGS,157.088333,68.411944,Decimal
195,11HUGS,157.645833,70.618611,Decimal
196,11HUGS,158.07125,27.668611,Decimal
197,11HUGS,158.690833,50.768333,Decimal
198,11HUGS,158.846667,-24.754167,Decimal
199,11HUGS,159.099167,12.7075,Decimal
200,11HUGS,159.180417,31.546667,Decimal
201,11HUGS,159.855,1.718056,Decimal
202,11HUGS,160.658333,-23.935556,Decimal
203,11HUGS,160.675833,34.448889,Decimal
204,11HUGS,160.87875,24.922778,Decimal
205,11HUGS,160.990833,11.703889,Decimal
206,11HUGS,161.5525,1.813333,Decimal
207,11HUGS,161.690417,11.82,Decimal
208,11HUGS,161.842917,14.069444,Decimal
209,11HUGS,162.224583,46.720556,Decimal
210,11HUGS,162.281667,6.917222,Decimal
211,11HUGS,162.402083,65.530556,Decimal
212,11HUGS,162.722083,13.412222,Decimal
213,11HUGS,162.8375,-34.430556,Decimal
214,11HUGS,163.130417,36.619722,Decimal
215,11HUGS,163.237917,69.549444,Decimal
216,11HUGS,165.0775,13.901111,Decimal
217,11HUGS,165.099583,28.975,Decimal
218,11HUGS,165.451667,28.689167,Decimal
219,11HUGS,165.930833,28.886944,Decimal
220,11HUGS,165.98,-34.358333,Decimal
221,11HUGS,166.24375,29.139444,Decimal
222,11HUGS,166.4525,0.035833,Decimal
223,11HUGS,166.705,43.723333,Decimal
224,11HUGS,167.879167,55.674167,Decimal
225,11HUGS,168.654167,12.817778,Decimal
226,11HUGS,168.8625,18.110278,Decimal
227,11HUGS,168.967083,41.592222,Decimal
228,11HUGS,169.566667,-32.811667,Decimal
229,11HUGS,169.732917,13.093611,Decimal
230,11HUGS,170.0625,12.991667,Decimal
231,11HUGS,170.070417,13.588889,Decimal
232,11HUGS,170.730417,13.441389,Decimal
233,11HUGS,170.829583,13.629722,Decimal
234,11HUGS,171.535833,43.585833,Decimal
235,11HUGS,171.800833,0.994722,Decimal
236,11HUGS,171.999583,78.994167,Decimal
237,11HUGS,173.370417,49.237222,Decimal
238,11HUGS,173.953333,54.523889,Decimal
239,11HUGS,174.025833,45.283611,Decimal
240,11HUGS,176.796667,43.671944,Decimal
241,11HUGS,177.720833,38.880278,Decimal
242,11HUGS,178.914167,31.519444,Decimal
243,11HUGS,179.68375,27.585,Decimal
244,11HUGS,179.735833,30.412222,Decimal
245,11HUGS,180.387917,33.341389,Decimal
246,11HUGS,181.003333,52.588333,Decimal
247,11HUGS,181.215833,26.9925,Decimal
248,11HUGS,181.504167,47.477778,Decimal
249,11HUGS,182.485,36.435278,Decimal
250,11HUGS,182.493333,46.4575,Decimal
251,11HUGS,183.037917,36.169167,Decimal
252,11HUGS,183.43625,36.634167,Decimal
253,11HUGS,183.535,66.094722,Decimal
254,11HUGS,183.74125,36.218889,Decimal
255,11HUGS,183.810417,20.658611,Decimal
256,11HUGS,183.848333,51.349444,Decimal
257,11HUGS,183.88875,43.435,Decimal
258,11HUGS,183.912083,36.327778,Decimal
259,11HUGS,183.944583,52.3875,Decimal
260,11HUGS,184.125417,52.2275,Decimal
261,11HUGS,184.175417,69.462778,Decimal
262,11HUGS,184.374583,37.808056,Decimal
263,11HUGS,184.375417,45.618889,Decimal
264,11HUGS,184.459583,47.408611,Decimal
265,11HUGS,184.691667,-79.726111,Decimal
266,11HUGS,184.739583,47.303889,Decimal
267,11HUGS,184.787917,47.089722,Decimal
268,11HUGS,184.997917,-17.391944,Decimal
269,11HUGS,185.15875,46.2925,Decimal
270,11HUGS,185.3125,45.811389,Decimal
271,11HUGS,186.105417,70.333611,Decimal
272,11HUGS,186.36625,28.4825,Decimal
273,11HUGS,186.45375,33.546667,Decimal
274,11HUGS,186.566667,48.493611,Decimal
275,11HUGS,186.77125,37.1425,Decimal
276,11HUGS,186.920417,43.495556,Decimal
277,11HUGS,187.012083,22.589444,Decimal
278,11HUGS,187.0225,22.290833,Decimal
279,11HUGS,187.046667,44.093333,Decimal
280,11HUGS,187.11875,37.233611,Decimal
281,11HUGS,187.16125,35.7175,Decimal
282,11HUGS,187.18375,22.8225,Decimal
283,11HUGS,187.18875,43.226389,Decimal
284,11HUGS,187.189583,44.864167,Decimal
285,11HUGS,187.2175,42.178056,Decimal
286,11HUGS,187.4725,47.531111,Decimal
287,11HUGS,187.599167,42.901667,Decimal
288,11HUGS,187.629583,41.700278,Decimal
289,11HUGS,187.650417,41.642778,Decimal
290,11HUGS,188.002917,39.833056,Decimal
291,11HUGS,188.111667,42.705,Decimal
292,11HUGS,188.2,37.621667,Decimal
293,11HUGS,188.226667,31.541111,Decimal
294,11HUGS,188.5025,39.019444,Decimal
295,11HUGS,188.5225,35.518889,Decimal
296,11HUGS,189.09375,40.005278,Decimal
297,11HUGS,189.340833,38.743889,Decimal
298,11HUGS,189.666667,32.766944,Decimal
299,11HUGS,189.9975,-11.623056,Decimal
300,11HUGS,190.00125,61.608056,Decimal
301,11HUGS,190.38625,41.151111,Decimal
302,11HUGS,190.469167,41.273889,Decimal
303,11HUGS,190.533333,32.540556,Decimal
304,11HUGS,190.562917,38.503333,Decimal
305,11HUGS,190.990417,32.168056,Decimal
306,11HUGS,191.104583,34.386667,Decimal
307,11HUGS,191.501667,-33.838056,Decimal
308,11HUGS,191.730833,26.564167,Decimal
309,11HUGS,191.735,51.612778,Decimal
310,11HUGS,191.749167,36.476389,Decimal
311,11HUGS,192.095417,51.164722,Decimal
312,11HUGS,192.720833,41.120556,Decimal
313,11HUGS,193.521667,27.148611,Decimal
314,11HUGS,194.017917,3.811944,Decimal
315,11HUGS,194.182083,21.681111,Decimal
316,11HUGS,194.668333,14.2175,Decimal
317,11HUGS,195.53375,58.701389,Decimal
318,11HUGS,195.56,-17.2375,Decimal
319,11HUGS,195.82,-17.423056,Decimal
320,11HUGS,196.364583,-49.468333,Decimal
321,11HUGS,196.45625,37.605,Decimal
322,11HUGS,196.603333,67.706944,Decimal
323,11HUGS,196.985833,-16.689167,Decimal
324,11HUGS,197.015,46.828056,Decimal
325,11HUGS,197.1425,78.936944,Decimal
326,11HUGS,198.050417,44.038889,Decimal
327,11HUGS,198.215833,40.543056,Decimal
328,11HUGS,198.344583,46.320278,Decimal
329,11HUGS,198.475417,42.21,Decimal
330,11HUGS,198.61625,45.919167,Decimal
331,11HUGS,198.87625,47.498889,Decimal
332,11HUGS,198.955,42.030278,Decimal
333,11HUGS,199.7275,-21.038889,Decimal
334,11HUGS,200.49,-36.630278,Decimal
335,11HUGS,201.365,-43.019167,Decimal
336,11HUGS,201.685,-30.3625,Decimal
337,11HUGS,201.905417,-41.480556,Decimal
338,11HUGS,202.400833,58.418333,Decimal
339,11HUGS,202.469583,47.195278,Decimal
340,11HUGS,202.494583,47.268056,Decimal
341,11HUGS,202.685,54.91,Decimal
342,11HUGS,203.345417,49.101667,Decimal
343,11HUGS,203.4325,-48.151111,Decimal
344,11HUGS,203.51125,47.915278,Decimal
345,11HUGS,203.677917,51.614167,Decimal
346,11HUGS,203.697083,-45.5475,Decimal
347,11HUGS,204.147917,-29.571389,Decimal
348,11HUGS,204.253333,-29.866389,Decimal
349,11HUGS,204.33375,-28.046111,Decimal
350,11HUGS,204.830833,24.775556,Decimal
351,11HUGS,204.974167,40.739167,Decimal
352,11HUGS,204.982917,-31.64,Decimal
353,11HUGS,205.076667,-28.892222,Decimal
354,11HUGS,205.40375,-29.913889,Decimal
355,11HUGS,205.635,39.658333,Decimal
356,11HUGS,206.252083,-41.861111,Decimal
357,11HUGS,207.324167,-36.061667,Decimal
358,11HUGS,207.634583,-37.288889,Decimal
359,11HUGS,207.710833,38.019167,Decimal
360,11HUGS,208.690417,53.900833,Decimal
361,11HUGS,208.702917,35.8375,Decimal
362,11HUGS,209.25625,-35.333889,Decimal
363,11HUGS,210.802083,54.348611,Decimal
364,11HUGS,210.8375,-41.378889,Decimal
365,11HUGS,211.25625,53.6625,Decimal
366,11HUGS,211.387917,54.460833,Decimal
367,11HUGS,211.794583,35.060278,Decimal
368,11HUGS,213.28875,-65.339167,Decimal
369,11HUGS,213.789167,57.0875,Decimal
370,11HUGS,213.985417,23.055278,Decimal
371,11HUGS,214.255833,43.501389,Decimal
372,11HUGS,214.950833,56.729444,Decimal
373,11HUGS,215.634167,45.383889,Decimal
374,11HUGS,215.824583,41.775833,Decimal
375,11HUGS,216.180833,44.525833,Decimal
376,11HUGS,217.015417,-46.301667,Decimal
377,11HUGS,218.760833,-49.420556,Decimal
378,11HUGS,218.851667,57.255278,Decimal
379,11HUGS,219.7725,36.805833,Decimal
380,11HUGS,220.85625,-44.705278,Decimal
381,11HUGS,221.053333,42.628889,Decimal
382,11HUGS,224.440417,71.682222,Decimal
383,11HUGS,225.28625,-48.290556,Decimal
384,11HUGS,225.28875,44.698056,Decimal
385,11HUGS,228.556667,-46.81,Decimal
386,11HUGS,232.002917,64.763056,Decimal
387,11HUGS,233.23875,46.452778,Decimal
388,11HUGS,235.449167,67.254167,Decimal
389,11HUGS,242.245417,17.506944,Decimal
390,11HUGS,245.246667,-60.487778,Decimal
391,11HUGS,251.833333,-57.441111,Decimal
392,11HUGS,255.105417,70.29,Decimal
393,11HUGS,257.020833,69.463889,Decimal
394,11HUGS,266.776667,-64.640278,Decimal
395,11HUGS,267.362917,70.144444,Decimal
396,11HUGS,275.693333,-62.270278,Decimal
397,11HUGS,277.15875,-66.981667,Decimal
398,11HUGS,278.70875,70.524167,Decimal
399,11HUGS,283.921667,-64.810833,Decimal
400,11HUGS,287.4425,-63.856944,Decimal
401,11HUGS,287.84625,-64.219167,Decimal
402,11HUGS,289.174583,63.971667,Decimal
403,11HUGS,292.495833,-17.678056,Decimal
404,11HUGS,294.406667,-65.811944,Decimal
405,11HUGS,296.235833,-14.789167,Decimal
406,11HUGS,302.38,-61.846389,Decimal
407,11HUGS,307.56375,60.440278,Decimal
408,11HUGS,307.637083,60.354722,Decimal
409,11HUGS,307.883333,60.812222,Decimal
410,11HUGS,308.717917,60.153889,Decimal
411,11HUGS,311.336667,60.411111,Decimal
412,11HUGS,311.715833,-12.848056,Decimal
413,11HUGS,312.100417,58.618333,Decimal
414,11HUGS,312.794167,56.890278,Decimal
415,11HUGS,313.02625,-69.203611,Decimal
416,11HUGS,315.850833,57.287222,Decimal
417,11HUGS,316.46375,57.208889,Decimal
418,11HUGS,322.2625,-52.7675,Decimal
419,11HUGS,324.119167,-54.556667,Decimal
420,11HUGS,330.674583,-51.295556,Decimal
421,11HUGS,330.89125,43.749167,Decimal
422,11HUGS,335.625,-48.405,Decimal
423,11HUGS,342.440833,-68.690556,Decimal
424,11HUGS,350.5275,40.845278,Decimal
425,11HUGS,351.176667,41.346667,Decimal
426,11HUGS,351.614583,-32.388889,Decimal
427,11HUGS,351.733333,-37.346944,Decimal
428,11HUGS,352.150833,14.743056,Decimal
429,11HUGS,352.494583,40.990278,Decimal
430,11HUGS,353.614167,-36.101389,Decimal
431,11HUGS,354.064167,-37.938611,Decimal
432,11HUGS,354.56,30.708056,Decimal
433,11HUGS,355.939583,-31.956111,Decimal
434,11HUGS,357.347917,-37.771944,Decimal
435,11HUGS,358.011667,-52.577778,Decimal
436,11HUGS,359.457083,-32.591667,Decimal
437,ANGST,04:04.0,-27:19:55,hms
438,ANGST,11:00.8,-04:41:34,hms
439,ANGST,03:07.2,-26:09:36,hms
440,ANGST,00:00.1,5:19:56,hms
441,ANGST,13:47.6,54:22:16,hms
442,ANGST,07:10.7,35:03:37,hms
443,ANGST,15:31.4,-32:10:48,hms
444,ANGST,26:33.3,-41:51:20,hms
445,ANGST,15:08.5,-39:13:13,hms
446,ANGST,02:41.9,-51:17:43,hms
447,ANGST,58:40.4,14:13:03,hms
448,ANGST,54:53.5,-37:40:57,hms
449,ANGST,26:27.5,-32:23:26,hms
450,ANGST,15:56.5,23:03:19,hms
451,ANGST,45:34.0,38:43:04,hms
452,ANGST,27:41.8,43:29:38,hms
453,ANGST,30:44.4,54:54:36,hms
454,ANGST,54:33.6,4:14:35,hms
455,ANGST,50:53.0,38:52:50,hms
456,ANGST,24:43.5,44:31:33,hms
457,ANGST,14:57.9,36:13:08,hms
458,ANGST,15:38.9,36:19:39,hms
459,ANGST,39:53.8,40:44:21,hms
460,ANGST,36:06.4,45:17:07,hms
461,ANGST,12:08.9,36:10:10,hms
462,ANGST,09:26.9,35:43:03,hms
463,ANGST,38:40.0,32:46:00,hms
464,ANGST,54:48.7,35:50:15,hms
465,ANGST,50:51.1,38:01:16,hms
466,ANGST,28:52.0,69:12:19,hms
467,ANGST,34:11.3,66:53:10,hms
468,ANGST,13:49.6,-38:13:53,hms
469,ANGST,37:03.0,69:46:31,hms
470,ANGST,36:54.4,65:35:58,hms
471,ANGST,49:49.3,-21:00:58,hms
472,ANGST,47:45.8,80:07:26,hms
473,ANGST,19:05.9,70:42:51,hms
474,ANGST,49:21.1,-18:04:28,hms
475,ANGST,15:46.7,52:23:15,hms
476,ANGST,50:24.6,-19:54:25,hms
477,ANGST,45:25.6,68:45:27,hms
478,ANGST,50:10.0,67:30:24,hms
479,ANGST,05:07.3,66:33:18,hms
480,ANGST,13:44.6,36:38:00,hms
481,ANGST,55:53.9,69:40:57,hms
482,ANGST,23:56.0,71:01:46,hms
483,ANGST,34:06.5,66:10:45,hms
484,ANGST,47:15.6,67:54:49,hms
485,ANGST,57:02.7,68:35:30,hms
486,ANGST,55:33.5,69:04:00,hms
487,ANGST,47:08.3,-20:45:36,hms
488,ANGST,57:32.4,69:02:35,hms
489,ANGST,07:01.9,67:49:39,hms
490,ANGST,08:05.9,68:23:57,hms
491,ANGST,52:55.3,69:32:45,hms
492,ANGST,26:27.9,67:39:24,hms
493,ANGST,44:47.1,67:26:19,hms
494,ANGST,04:40.3,68:15:20,hms
495,ANGST,03:21.0,68:44:02,hms
496,ANGST,40:28.2,71:11:11,hms
497,ANGST,34:31.9,66:00:42,hms
498,ANGST,57:29.0,69:16:20,hms
499,ANGST,00:16.0,63:11:06,hms
500,ANGST,47:34.3,-25:17:32,hms
501,ANGST,21:25.2,71:06:58,hms
502,ANGST,30:35.0,70:37:10,hms
503,ANGST,53:48.5,68:58:09,hms
504,ANGST,28:22.4,68:24:58,hms
505,ANGST,23:51.7,-24:42:18,hms
506,CGS,17 39 31.76,?85 18 37.3,hms
507,CGS,21 52 26.37,?81 31 51.1,hms
508,CGS,22 23 04.19,?79 59 49.1,hms
509,CGS,05 23 34.52,?69 45 22.1,hms
510,CGS,08 57 26.71,?69 03 36.5,hms
511,CGS,09 13 31.59,?63 37 35.1,hms
512,CGS,14 13 09.95,?65 20 21.2,hms
513,CGS,06 07 29.69,?61 48 26.9,hms
514,CGS,06 21 38.68,?59 44 23.8,hms
515,CGS,16 02 35.49,?61 46 28.4,hms
516,CGS,16 20 58.39,?60 29 27.7,hms
517,CGS,16 35 14.11,?58 04 48.1,hms
518,CGS,16 40 52.50,?60 23 39.5,hms
519,CGS,16 53 53.52,?58 46 44.5,hms
520,CGS,16 59 02.89,?60 12 56.6,hms
521,CGS,17 29 18.45,?62 27 54.7,hms
522,CGS,18 56 55.90,?54 32 43.2,hms
523,CGS,20 03 27.00,?55 56 49.3,hms
524,CGS,20 34 02.12,?52 58 52.6,hms
525,CGS,07 33 56.26,?50 26 35.1,hms
526,CGS,07 58 15.45,?49 51 16.1,hms
527,CGS,10 16 55.44,?48 52 51.9,hms
528,CGS,13 02 21.04,?50 20 03.7,hms
529,CGS,14 08 23.68,?47 58 14.4,hms
530,CGS,14 12 09.17,?49 23 22.8,hms
531,CGS,11 07 48.52,?46 31 33.5,hms
532,CGS,13 10 04.46,?46 26 14.3,hms
533,CGS,13 34 47.51,?45 32 52.3,hms
534,CGS,14 00 46.40,?45 25 06.3,hms
535,CGS,14 58 30.38,?47 41 56.7,hms
536,CGS,15 14 13.43,?46 48 24.9,hms
537,CGS,07 47 34.05,?41 27 06.7,hms
538,CGS,11 49 50.29,?38 47 03.9,hms
539,CGS,12 21 42.92,?39 46 10.4,hms
540,CGS,01 00 10.73,?33 42 13.1,hms
541,CGS,02 40 01.45,?34 26 49.9,hms
542,CGS,03 46 18.94,?34 56 33.4,hms
543,CGS,05 16 38.70,?37 06 08.6,hms
544,CGS,09 33 21.57,?33 02 01.2,hms
545,CGS,12 14 45.12,?35 30 35.1,hms
546,CGS,12 15 34.27,?35 37 46.9,hms
547,CGS,13 49 17.52,?36 03 37.2,hms
548,CGS,13 51 19.34,?33 48 26.1,hms
549,CGS,10 28 53.54,?31 36 32.2,hms
550,CGS,11 48 45.53,?28 17 37.1,hms
551,CGS,12 52 13.31,?29 50 26.4,hms
552,CGS,14 01 04.03,?30 19 37.2,hms
553,CGS,02 26 21.74,?24 17 23.6,hms
554,CGS,08 06 11.09,?27 31 41.2,hms
555,CGS,08 36 15.19,?26 24 33.9,hms
556,CGS,12 21 49.03,?24 10 05.7,hms
557,CGS,12 51 31.83,?26 27 06.9,hms
558,CGS,06 21 05.55,?20 02 54.6,hms
559,CGS,15 26 08.02,?22 16 56.8,hms
560,CGS,05 53 00.07,?17 52 34.1,hms
561,CGS,12 10 14.18,?29 44 11.6,hms
562,CGS,22 57 10.58,?36 27 43.6,hms
563,CGS,01 09 55.49,?45 55 51.9,hms
564,CGS,03 33 41.81,?21 28 43.4,hms
565,CGS,03 31 31.50,?51 54 17.6,hms
566,CGS,03 47 04.83,?33 42 36.2,hms
567,CGS,03 49 07.66,?48 51 29.9,hms
568,CGS,03 54 28.42,?35 58 01.5,hms
569,CGS,04 09 01.84,?45 31 03.2,hms
570,CGS,03 52 00.70,?83 49 50.9,hms
571,CGS,04 16 24.47,?60 12 24.1,hms
572,CGS,05 51 18.55,?38 19 13.7,hms
573,CGS,06 16 27.98,?21 22 33.1,hms
574,CGS,08 18 45.96,?25 22 11.2,hms
575,CGS,08 24 10.04,?18 46 32.3,hms
576,CGS,09 23 01.00,?32 26 58.9,hms
577,CGS,09 55 08.98,?33 08 13.8,hms
578,CGS,09 59 55.39,?29 37 01.3,hms
579,CGS,10 03 51.87,?27 34 15.1,hms
580,CGS,10 08 50.72,?67 01 52.4,hms
581,CGS,10 16 18.69,?33 33 49.7,hms
582,CGS,10 37 47.31,?27 04 52.3,hms
583,CGS,11 09 53.35,?23 43 33.2,hms
584,CGS,11 27 05.02,?28 58 48.6,hms
585,CGS,12 05 46.97,?27 56 25.4,hms
586,CGS,12 23 45.18,?34 37 19.8,hms
587,CGS,12 27 37.33,?39 20 16.1,hms
588,CGS,12 56 43.19,?50 20 48.8,hms
589,CGS,13 17 42.69,?32 06 05.8,hms
590,CGS,13 36 39.01,?33 57 56.6,hms
591,CGS,13 49 05.32,?30 17 44.8,hms
592,CGS,13 57 54.19,?29 18 56.2,hms
593,CGS,14 21 12.97,?46 17 51.3,hms
594,CGS,14 31 38.62,?43 25 09.1,hms
