_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
055.0980833;-35.2768056;LSBG F358-037               ;14.300;03 40 23.54;-35 16 36.5;
054.3918750;-35.8293889;LSBG F358-044               ;26.200;03 37 34.05;-35 49 45.8;
054.3249167;-35.6985556;LSBG F358-045               ;21.000;03 37 17.98;-35 41 54.8;
143.7225000;+17.0513889;Leo T                       ; 0.407;09 34 53.40;+17 03 05.0;
013.5150417;+73.0866111;MCG +12-02-001              ;41.600;00 54 03.61;+73 05 11.8;
016.2703333; -6.2123889;MCG -01-03-085              ;11.650;01 05 04.88;-06 12 44.6;
016.2860000; -6.2793056;MCG -01-03-088              ;32.500;01 05 08.64;-06 16 45.5;
200.6020000;-16.7283611;MCG -03-34-064              ;45.500;13 22 24.48;-16 43 42.1;
054.2262917;-35.3747222;MCG -06-09-008              ;19.600;03 36 54.31;-35 22 29.0; 5.65
010.6847083;+41.2687500;M31                         ; 0.929;00 42 44.33;+41 16 07.5; 7.94
010.6742500;+40.8651667;M32                         ; 0.830;00 42 41.82;+40 51 54.6; 6.01
023.4620833;+30.6599444;M33                         ; 1.170;01 33 50.90;+30 39 35.8; 3.22
187.4450000; +8.0004167;M49                         ;17.800;12 29 46.80;+08 00 01.5; 9.16
202.4696250;+47.1951667;M51a                        ; 8.280;13 29 52.71;+47 11 42.6; 6.65
202.4982917;+47.2661389;M51b                        ; 8.280;13 29 59.59;+47 15 58.1; 7.24
189.4316667;+11.8180833;M58                         ;21.000;12 37 43.60;+11 49 05.1; 7.88
190.5096667;+11.6469167;M59                         ;19.100;12 42 02.32;+11 38 48.9; 8.58
190.9167083;+11.5526111;M60                         ;19.100;12 43 40.01;+11 33 09.4; 9.48
185.4789583; +4.4735833;M61                         ;15.200;12 21 54.95;+04 28 24.9; 6.35
198.9555417;+42.0292778;M63                         ; 9.320;13 15 49.33;+42 01 45.4; 7.10
194.1820833;+21.6826667;M64                         ; 7.480;12 56 43.70;+21 40 57.6; 6.65
169.7331667;+13.0922222;M65                         ;15.400;11 18 55.96;+13 05 32.0; 7.47
170.0626250;+12.9912778;M66                         ;15.600;11 20 15.03;+12 59 28.6; 7.23
024.1740417;+15.7834722;M74                         ;10.200;01 36 41.77;+15 47 00.5; 6.01
040.6698750; -0.0132778;M77                         ;14.400;02 42 40.77;-00 00 47.8; 7.84
148.8882500;+69.0652500;M81                         ; 4.020;09 55 33.18;+69 03 54.9; 7.83
125.9795833;+71.0322222;M81 DWARF A                 ; 3.550;08 23 55.10;+71 01 56.0;
148.9684583;+69.6796944;M82                         ; 3.890;09 55 52.43;+69 40 46.9; 7.33
204.2538333;-29.8657500;M83                         ; 4.660;13 37 00.92;-29 51 56.7;
186.2657500;+12.8869722;M84                         ;19.200;12 25 03.78;+12 53 13.1; 9.29
186.3502083;+18.1910833;M85                         ;19.000;12 25 24.05;+18 11 27.9; 8.05
186.5492083;+12.9459722;M86                         ;19.500;12 26 11.81;+12 56 45.5; 8.67
187.7059167;+12.3911111;M87                         ;17.500;12 30 49.42;+12 23 28.0; 9.46
187.3479583;+12.4507778;M87 DW07                    ;16.900;12 29 23.51;+12 27 02.8;
