GALAXY	RA(J2000)	DEC(J2000)	Maj	D (Mpc)	M(B)
NGC4144	09:58.4	+46:27:27	6	9.8	-17.93
NGC4163	12:09.1	+36:10:09	1.8	2.96	-13.64
ESO321-G014	13:49.6	-38:13:53	1.4	3.2	-12.3
NGC4190	13:44.7	+36:38:03	1.7	3.5	-13.88
UGC07242	14:08.4	+66:05:41	2	5.42	-14.06
UGCA276	14:57.9	+36:13:08	1.5	3.18	-11.85
UGC07267	15:23.6	+51:20:58	2.1	7.33	-14.11
NGC4214	15:38.9	+36:19:40	8.5	2.92	-17.13
CGCG269-049	15:46.8	+52:23:17	1.2	3.23	-12.3
NGC4236	16:42.1	+69:27:46	21.9	4.45	-18.25
NGC4244	17:29.9	+37:48:29	16.6	4.49	-17.42
NGC4242	17:30.1	+45:37:08	5	7.43	-18
UGC07321	17:33.8	+22:32:26	5.5	20	-17.43
NGC4248	17:50.3	+47:24:31	3	7.24	-16.13
NGC4258	18:57.5	+47:18:14	18.6	7.98	-20.44
ISZ399	19:59.5	-17:23:31	1	8.97	-15.21
NGC4288	20:38.1	+46:17:33	2.1	7.67	-16.19
UGC07408	21:15.0	+45:48:41	2.6	6.87	-15.85
UGC07490	24:25.3	+70:20:01	3.3	8.4	-16.62
NGC4395	25:48.9	+33:32:48	13.2	4.61	-17.72
UGCA281	26:16.0	+48:29:37	0.8	5.7	-13.45
UGC07559	27:05.1	+37:08:33	3.2	4.87	-14.26
UGC07577	27:40.9	+43:29:44	4.3	2.74	-14.39
NGC4449	28:11.2	+44:05:36	6.2	4.21	-18.17
UGC07599	28:28.5	+37:14:01	2	6.9	-14.35
UGC07605	28:38.7	+35:43:03	1.1	4.43	-13.48
NGC4455	28:44.1	+22:49:21	2.8	7.75	-15.71
UGC07608	28:45.3	+43:13:35	3.4	7.76	-15.81
NGC4460	28:45.5	+44:51:51	4	9.59	-17.17
UGC07639	29:53.4	+47:31:52	2.3	8	-15.55
NGC4485	30:31.1	+41:42:01	2.3	7.07	-16.97
NGC4490	30:36.1	+41:38:34	6.3	8.03	-19.34
UGC07690	32:26.8	+42:42:18	1.7	7.73	-16.4
UGC07699	32:48.0	+37:37:18	3.8	6.85	-15.6
UGC07698	32:54.4	+31:32:28	6.4	6.1	-15.97
UGC07719	34:00.6	+39:01:10	1.9	9.39	-14.56
UGC07774	36:22.5	+40:00:19	3.6	7.44	-14.37
UGCA292	38:40.0	+32:46:01	1	3.1	-11.4
MESSIER104	39:59.4	-11:37:23	8.7	9.33	-21.03
NGC4605	40:00.3	+61:36:29	5.8	5.47	-17.83
NGC4618	41:32.7	+41:09:04	4.2	7.79	-18.28
NGC4625	41:52.6	+41:16:26	2.2	8.65	-16.8
NGC4631	42:08.0	+32:32:26	15.5	8.05	-19.83
UGC07866	42:15.1	+38:30:12	3.4	4.57	-14.63
NGC4656	43:57.7	+32:10:05	15.1	8.59	-18.75
UGC07916	44:25.1	+34:23:12	2.5	8.21	-14.61
UGC07950	46:56.4	+51:36:46	1.3	7.91	-14.42
UGC07949	46:59.8	+36:28:35	2	9.9	-14.91
NGC4707	48:22.9	+51:09:53	2.2	7.44	-15.99
NGC4736	50:53.0	+41:07:14	11.2	4.66	-19.38
UGC08024	54:05.2	+27:08:55	3	4.3	-14.25
NGC4826	56:43.7	+21:40:52	10	7.5	-20.17
UGC08091	58:40.4	+14:13:03	1.1	2.13	-12.03
UGCA319	02:14.4	-17:14:15	1.6	7.4	-14.61
UGCA320	03:16.8	-17:25:23	5.6	7.24	-16.01
UGC08188	05:49.5	+37:36:18	6	4.49	-15.89
UGC08201	06:24.8	+67:42:25	3.5	4.57	-15.56
MCG-03-34-002	07:56.6	-16:41:21	0.7	10.16	-15.46
UGC08245	08:34.2	+78:56:13	1.7	3.64	-12.69
NGC5023	12:12.1	+44:02:20	6	5.4	-15.85
CGCG217-018	12:51.8	+40:32:35	0.7	8.21	-14.5
UGC08313	13:54.1	+42:12:36	1.7	8.72	-14.95
UGC08320	14:27.9	+45:55:09	3.6	4.33	-15.1
UGC08331	15:30.3	+47:29:56	2.7	8.2	-15.27
NGC5055	15:49.2	+42:01:49	12.6	7.55	-20.11
NGC5068	18:54.6	-21:02:20	7.2	6.24	-18.65
IC4247	26:44.4	-30:21:45	1.3	4.97	-14.11
NGC5204	29:36.2	+58:25:06	5	4.65	-16.63
NGC5194	29:52.7	+47:11:43	11.2	8	-20.63
NGC5195	29:58.7	+47:16:05	5.8	8	-19.14
UGC08508	30:44.4	+54:54:36	1.7	2.69	-13.24
NGC5229	34:02.7	+47:54:55	3.3	5.1	-14.39
NGC5238	34:42.7	+51:36:51	1.7	5.2	-15
[KK98]208	36:35.5	-29:34:17	6	4.68	-14.21
NGC5236	37:00.8	-29:51:59	12.9	4.47	-20.26
ESO444-G084	37:20.1	-28:02:46	1.3	4.61	-13.1
UGC08638	39:19.4	+24:46:32	1.2	4.27	-13.08
UGC08651	39:53.8	+40:44:21	2.3	3.02	-12.96
NGC5253	39:55.9	-31:38:24	5	3.15	-16.83
NGC5264	41:36.9	-29:54:50	2.5	4.53	-15.88
UGC08760	50:50.6	+38:01:09	2.2	3.24	-13.13
KKH086	54:33.5	+04:14:35	0.7	2.6	-10.2
UGC08837	54:45.7	+53:54:03	4.3	8.3	-15.91
UGC08833	54:48.7	+35:50:15	0.9	3.2	-12.4
NGC5457	03:12.5	+54:20:55	28.8	6.7	-20.83
NGC5474	05:01.5	+53:39:45	4.8	7.2	-17.49
NGC5477	05:33.1	+54:27:39	1.7	7.7	-15.21
[KK98]230	07:10.5	+35:03:37	0.6	2.14	-8.84
UGC09128	15:56.5	+23:03:19	1.7	2.24	-12.34
NGC5585	19:48.2	+56:43:46	5.8	5.7	-17.61
UGC09240	24:43.4	+44:31:33	1.8	2.8	-13.95
UGC09405	35:24.4	+57:15:19	1.7	8	-14.97
MRK475	39:05.4	+36:48:21	0.4	9.03	-14.34
NGC5832	57:45.7	+71:40:56	3.7	8.75	-15.71
NGC5949	28:00.7	+64:45:47	2.2	8.53	-16.37
UGC09992	41:47.8	+67:15:15	1.6	8.56	-14.92
KKR25	13:47.9	+54:22:16	1.1	1.9	-9.9
NGC6503	49:27.1	+70:08:40	7.1	5.27	-17.83
IC4951	09:31.2	-61:50:47	2.8	9.35	-16.05
DDO210	46:51.8	-12:50:53	2.2	0.94	-10.9
IC5052	52:06.3	-69:12:13	5.9	5.87	-17.24
NGC7064	29:03.0	-52:46:03	3.8	9.87	-16.9
NGC7090	36:28.6	-54:33:24	7.4	10.4	-18.8
IC5152	02:41.9	-51:17:44	5.2	2.1	-15.55
IC5256	49:45.8	-68:41:26	1.1	10.76	-15.65
UGCA438	26:27.5	-32:23:20	1.5	2.22	-12.12
ESO347-G017	26:56.0	-37:20:49	1.4	9.37	-15.52
UGC12613	28:36.2	+14:44:35	5	0.76	-12.09
IC5332	34:27.4	-36:06:05	7.8	9.53	-18.75
NGC7713	36:15.4	-37:56:19	4.5	9.28	-18.39
UGCA442	43:45.5	-31:57:22	3.5	4.27	-14.62
KKH098	45:34.0	+38:43:04	1.1	2.5	-10.3
ESO149-G003	52:02.8	-52:34:40	2.2	6.4	-14.04
NGC7793	57:49.7	-32:35:30	9.3	3.91	-18.41

