index,z,D (Mpc)
112,0.025694,112.9464927257143
113,0.008389,36.25446566142857
114,0.016952,73.88301558857141
115,0.016448,71.65087158857143
116,0.0135509,58.86225810347142
117,0.0107463,46.55049841581429
118,0.0289199,127.5268312114714
119,0.0260665,114.62555323821427
120,0.0227331,99.64240215261427
121,0.020965,91.73370524999999
122,0.0189156,82.60028538582857
123,0.021995,96.33762867857142
124,0.0175553,76.55780810609998
125,0.0137662,59.810178267599994
126,0.017532,76.45444724571428
127,0.012455,54.04340153571429
128,0.027,118.83857142857141
129,0.028289,124.66828937571428
130,0.016251,70.77897857571428
131,0.0146,63.48497142857142
132,0.012836,55.71755526857143
133,0.015234,66.28317752571427
134,0.009156,39.59928143999999
135,0.009223,39.89170169571428
136,0.015204,66.15069264
137,0.009542,41.28449898857142
138,0.009448,40.873991588571414
139,0.009232,39.930984959999996
140,0.015216,66.20368566857142
141,0.014515,63.110079535714284
142,0.013766,59.80929752571428
143,0.011956,51.85262544
144,0.011031,47.797212689999995
145,0.014857,64.61884478142856
146,0.012956,56.24510543999999
147,0.0155906,67.85857203582856
148,0.0130247,56.54718347181428
149,0.027497,121.08465003857143
150,0.022,96.36
151,0.015931,69.36341469
152,0.0163354,71.15247982782857
153,0.014837,64.53058529571427
154,0.00715844,30.898642556715426
155,0.0152148,66.19838631017143
156,0.012442,53.98630013142857
157,0.00780175,33.69693129883928
158,0.007298,31.505403445714283
159,0.0154787,67.36410065867143
160,0.0161302,70.24450008017142
161,0.017373,75.74923341
162,0.0158435,68.97649925249998
163,0.0155093,67.49930737067142
164,0.0223044,97.7223696829714
165,0.0277846,122.38535998782855
166,0.015257,66.38475449571428
167,0.015661,68.16971537571428
168,0.0105255,45.584083501071426
169,0.0162047,70.57410986609999
170,0.0152621,66.40727869889999
171,0.0168033,73.2242181038143
172,0.01644,71.61545828571428
173,0.0157167,68.41591996667142
174,0.0297358,131.22864772131427
175,0.016772,73.08557135999997
176,0.0285369,125.79109140689998
177,0.0173641,75.70976558061427
178,0.0104599,45.297040748614286
179,0.0209458,91.6479708756
180,0.00822819,35.55382761718329
181,0.0117091,50.76944152632857
182,0.0144204,62.69291972640001
183,0.011895,51.58496153571428
184,0.0156041,67.9182340149
185,0.01378,59.87095028571428
186,0.019,82.97571428571426
187,0.0166327,72.4686287541
188,0.012027,52.16420883857142
189,0.013323,57.85929569571428
190,0.0265812,116.94754368617141
191,0.007055,30.449027249999997
192,0.0171635,74.82036742392859
193,0.00697024,30.08067533853257
194,0.006628,28.593987360000003
195,0.0198501,86.76054201432855
196,0.0197557,86.33994721067143
197,0.0166385,72.49431292392858
198,0.00694248,29.960048693787428
199,0.0247557,108.72233435352857
200,0.018473,80.63250740999999
201,0.0154997,67.45688871467141
202,0.0128801,55.911415611471426
203,0.0209763,91.78416497867143
204,0.00692045,29.864325549439283
205,0.010854,47.02203992571428
206,0.0173929,75.8374841589
207,0.005797,24.988308038571425
208,0.0206276,90.2275623504
209,0.0060604,26.13055049211428
210,0.00575291,24.797168457720428
211,0.0128214,55.65337841982856
212,0.00607164,26.179306338384
213,0.00513,22.098501
214,0.0145248,63.15329920731428
