_RAJ2000	_DEJ2000	Seq	Name	n_Name	RAJ2000	DEJ2000	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	Mpc
----------	----------	---	--------------	-	----------	---------	-----
157.087083	+22.571389	193	UGC5672       	s	10 28 20.9	+22 34 17	 6.30
157.088333	+68.411944	194	UGC5666       	p	10 28 21.2	+68 24 43	 4.02
157.645833	+70.618611	195	UGC5692       	p	10 30 35.0	+70 37 07	 4.00
158.071250	+27.668611	196	NGC3274       	p	10 32 17.1	+27 40 07	 6.50
158.690833	+50.768333	197	UGC5740       	s	10 34 45.8	+50 46 06	 9.30
158.846667	-24.754167	198	UGCA212       	p	10 35 23.2	-24 45 15	10.10
159.099167	+12.707500	199	NGC3299       	p	10 36 23.8	+12 42 27	10.40
159.180417	+31.546667	200	UGC5764       	s	10 36 43.3	+31 32 48	 7.10
159.855000	 +1.718056	201	UGC5797       	p	10 39 25.2	+01 43 05	 6.80
160.658333	-23.935556	202	IC625         	p	10 42 38.0	-23 56 08	10.10
160.675833	+34.448889	203	UGC5829       	p	10 42 42.2	+34 26 56	 7.90
160.878750	+24.922778	204	NGC3344       	p	10 43 30.9	+24 55 22	 6.60
160.990833	+11.703889	205	NGC3351       	p	10 43 57.8	+11 42 14	10.00
161.552500	 +1.813333	206	NGC3365       	p	10 46 12.6	+01 48 48	10.50
161.690417	+11.820000	207	NGC3368       	p	10 46 45.7	+11 49 12	10.52
161.842917	+14.069444	208	UGC5889       	p	10 47 22.3	+14 04 10	 9.30
162.224583	+46.720556	209	UGC5917       	s	10 48 53.9	+46 43 14	10.30
162.281667	 +6.917222	210	UGC5923       	p	10 49 07.6	+06 55 02	 7.20
162.402083	+65.530556	211	UGC5918       	s	10 49 36.5	+65 31 50	 7.40
162.722083	+13.412222	212	NGC3412       	s	10 50 53.3	+13 24 44	10.40
162.837500	-34.430556	213	ESO376-G022   	p	10 51 21.0	-34 25 50	 9.00
163.130417	+36.619722	214	NGC3432       	p	10 52 31.3	+36 37 11	 7.90
163.237917	+69.549444	215	KDG73         	s	10 52 57.1	+69 32 58	 3.70
165.077500	+13.901111	216	NGC3489       	s	11 00 18.6	+13 54 04	10.40
165.099583	+28.975000	217	NGC3486       	p	11 00 23.9	+28 58 30	 8.20
165.451667	+28.689167	218	UGC6102       	s	11 01 48.4	+28 41 21	 8.50
165.930833	+28.886944	219	NGC3510       	p	11 03 43.4	+28 53 13	 8.60
165.980000	-34.358333	220	ESO377-G003   	p	11 03 55.2	-34 21 30	 9.20
166.243750	+29.139444	221	MRK36         	s	11 04 58.5	+29 08 22	 7.80
166.452500	 +0.035833	222	NGC3521       	p	11 05 48.6	+00 02 09	 8.00
166.705000	+43.723333	223	UGC6161       	s	11 06 49.2	+43 43 24	10.30
167.879167	+55.674167	224	MESSIER108    	p	11 11 31.0	+55 40 27	10.40
168.654167	+12.817778	225	NGC3593       	p	11 14 37.0	+12 49 04	 6.50
168.862500	+18.110278	226	NGC3599       	s	11 15 27.0	+18 06 37	 9.60
168.967083	+41.592222	227	NGC3600       	p	11 15 52.1	+41 35 32	 9.70
169.566667	-32.811667	228	NGC3621       	p	11 18 16.0	-32 48 42	 6.64
169.732917	+13.093611	229	NGC3623       	p	11 18 55.9	+13 05 37	 8.90
170.062500	+12.991667	230	NGC3627       	p	11 20 15.0	+12 59 30	10.05
170.070417	+13.588889	231	NGC3628       	p	11 20 16.9	+13 35 20	 9.40
170.730417	+13.441389	232	IC2782        	p	11 22 55.3	+13 26 29	 9.70
170.829583	+13.629722	233	IC2787        	s	11 23 19.1	+13 37 47	 7.70
171.535833	+43.585833	234	NGC3675       	p	11 26 08.6	+43 35 09	10.60
171.800833	 +0.994722	235	UGC6457       	p	11 27 12.2	+00 59 41	10.20
171.999583	+78.994167	236	UGC6456       	s	11 27 59.9	+78 59 39	 4.34
173.370417	+49.237222	237	UGC6541       	p	11 33 28.9	+49 14 14	 3.89
173.953333	+54.523889	238	NGC3738       	p	11 35 48.8	+54 31 26	 4.90
174.025833	+45.283611	239	NGC3741       	p	11 36 06.2	+45 17 01	 3.19
176.796667	+43.671944	240	LEDA166115    	s	11 47 11.2	+43 40 19	 4.51
177.720833	+38.880278	241	UGC6817       	p	11 50 53.0	+38 52 49	 2.64
178.914167	+31.519444	242	UGC6900       	p	11 55 39.4	+31 31 10	 7.50
179.683750	+27.585000	243	BTS76         	s	11 58 44.1	+27 35 06	 6.00
179.735833	+30.412222	244	NGC4020       	p	11 58 56.6	+30 24 44	 9.70
180.387917	+33.341389	245	UGC7007       	s	12 01 33.1	+33 20 29	10.10
181.003333	+52.588333	246	NGC4068       	p	12 04 00.8	+52 35 18	 4.31
181.215833	+26.992500	247	NGC4080       	p	12 04 51.8	+26 59 33	 6.90
181.504167	+47.477778	248	NGC4096       	p	12 06 01.0	+47 28 40	 8.30
182.485000	+36.435278	249	KUG1207+367   	s	12 09 56.4	+36 26 07	 4.50
182.493333	+46.457500	250	NGC4144       	p	12 09 58.4	+46 27 27	 9.80
183.037917	+36.169167	251	NGC4163       	p	12 12 09.1	+36 10 09	 2.96
183.436250	+36.634167	252	NGC4190       	p	12 13 44.7	+36 38 03	 3.50
183.535000	+66.094722	253	UGC7242       	p	12 14 08.4	+66 05 41	 5.42
183.741250	+36.218889	254	UGCA276       	s	12 14 57.9	+36 13 08	 3.18
183.810417	+20.658611	255	NGC4204       	p	12 15 14.5	+20 39 31	10.40
183.848333	+51.349444	256	UGC7267       	s	12 15 23.6	+51 20 58	 7.30
183.888750	+43.435000	257	UGC7271       	s	12 15 33.3	+43 26 06	 7.80
183.912083	+36.327778	258	NGC4214       	p	12 15 38.9	+36 19 40	 2.92
183.944583	+52.387500	259	CGCG269-049   	s	12 15 46.7	+52 23 15	 3.20
184.125417	+52.227500	260	UGC7298       	s	12 16 30.1	+52 13 39	 4.21
184.175417	+69.462778	261	NGC4236       	p	12 16 42.1	+69 27 46	 4.45
184.374583	+37.808056	262	NGC4244       	p	12 17 29.9	+37 48 29	 4.49
184.375417	+45.618889	263	NGC4242       	p	12 17 30.1	+45 37 08	 7.40
184.459583	+47.408611	264	NGC4248       	p	12 17 50.3	+47 24 31	 7.20
184.691667	-79.726111	265	IC3104        	s	12 18 46.0	-79 43 34	 2.27
184.739583	+47.303889	266	NGC4258       	p	12 18 57.5	+47 18 14	 7.98
184.787917	+47.089722	267	UGC7356       	s	12 19 09.1	+47 05 23	 6.70
