
Name	n_Name	RAJ2000	DEJ2000	Dist	Kmag	AV	KMag	sigmaHL	sigmaNSA	Rad	RadNSA	Env	n_Env	Com	Simbad
 	 	deg	deg	Mpc	mag	mag	mag	km/s	km/s	arcsec	arcsec	 	 	 	
----------	-	--------	--------	-----	-----	------	------	---	---	----	----	---	-	------------	------
NGC 4059  	 	181.0471	+20.4098	107.2	 9.75	 0.079	-25.41	   	206	 9.6	33.0	 18	 	            	Simbad
NGC 4073  	 	181.1128	+01.8960	 91.5	 8.49	 0.074	-26.33	277	292	21.4	23.0	 10	B	            	Simbad
NGC 4213  	 	183.9064	+23.9819	101.6	 9.61	 0.102	-25.44	259	264	11.6	33.6	  4	B	            	Simbad
NGC 4472  	 	187.4450	+08.0004	 16.7	 5.40	 0.061	-25.72	289	   	53.9	    	205	B	=M49,Virgo  	Simbad
NGC 4486  	 	187.7059	+12.3911	 16.7	 5.81	 0.063	-25.31	336	   	41.3	48.7	205	 	=M87,Virgo  	Simbad
NGC 4555  	 	188.9216	+26.5230	103.6	 9.17	 0.044	-25.92	350	319	10.1	29.8	  1	 	            	Simbad
NGC 4649  	 	190.9167	+11.5526	 16.5	 5.74	 0.072	-25.36	340	   	39.8	44.1	205	 	=M60,Virgo  	Simbad
NGC 4816  	 	194.0506	+27.7455	102.0	 9.71	 0.024	-25.33	244	   	14.5	50.6	 49	 	Coma/A1656  	Simbad
NGC 4839  	 	194.3515	+27.4977	102.0	 9.20	 0.028	-25.85	285	269	20.8	29.2	 49	 	Coma/A1656  	Simbad
NGC 4874  	 	194.8988	+27.9594	102.0	 8.86	 0.025	-26.18	279	266	23.8	32.0	 49	 	Coma/A1656  	Simbad
NGC 4889  	 	195.0338	+27.9770	102.0	 8.41	 0.026	-26.64	401	370	19.1	33.0	 49	B	Coma/A1656  	Simbad
NGC 4914  	 	195.1789	+37.3153	 74.5	 8.65	 0.037	-25.72	225	   	12.8	31.3	  1	 	=NGC 4912   	Simbad
NGC 5129  	 	201.0417	+13.9765	107.5	 9.25	 0.078	-25.92	277	262	12.3	21.8	  1	 	            	Simbad
NGC 5208  	 	203.1163	+07.3166	105.0	 9.51	 0.097	-25.61	   	252	 6.8	18.3	  3	B	            	Simbad
PGC 047776	 	203.4770	+03.2836	103.8	 9.73	 0.076	-25.36	   	   	 7.9	13.2	  9	B	            	Simbad
NGC 5252  	 	204.5661	+04.5426	103.8	 9.77	 0.095	-25.32	196	   	 9.3	19.8	  9	 	            	Simbad
NGC 5322  	 	207.3133	+60.1904	 34.2	 7.16	 0.038	-25.51	236	   	26.6	20.1	  8	B	            	Simbad
NGC 5353  	 	208.3613	+40.2831	 41.1	 7.63	 0.035	-25.45	290	   	14.2	27.8	 12	B	            	Simbad
NGC 5490  	 	212.4888	+17.5455	 78.6	 8.92	 0.073	-25.57	288	   	10.1	19.5	  1	 	            	Simbad
NGC 5557  	 	214.6071	+36.4936	 51.0	 8.08	 0.016	-25.46	281	   	16.2	14.7	  4	B	            	Simbad
IC 1143   	 	232.7345	+82.4558	 97.3	 9.51	 0.172	-25.45	   	   	 9.2	    	  3	B	            	Simbad
UGC 10097 	 	238.9303	+47.8673	 91.5	 9.38	 0.049	-25.43	302	   	 7.6	17.2	  7	B	            	Simbad
NGC 6223  	 	250.7679	+61.5789	 86.7	 9.11	 0.100	-25.59	   	   	10.6	    	  4	B	            	Simbad
NGC 6364  	 	261.1139	+29.3902	105.3	 9.74	 0.106	-25.38	205	   	 7.7	11.5	  1	 	            	Simbad
NGC 6375  	 	262.3411	+16.2067	 95.8	 9.42	 0.334	-25.53	220	   	10.8	    	  1	 	            	Simbad
UGC 10918 	 	264.3892	+11.1217	100.2	 9.31	 0.498	-25.75	   	   	12.8	    	  1	 	            	Simbad
NGC 6442  	 	266.7139	+20.7611	 98.0	 9.59	 0.239	-25.40	240	   	 9.1	    	  1	 	            	Simbad
NGC 6482  	 	267.9534	+23.0719	 61.4	 8.37	 0.277	-25.60	322	   	10.1	    	  3	B	            	Simbad
NGC 6575  	 	272.7395	+31.1162	106.0	 9.56	 0.172	-25.58	306	   	 9.0	    	  1	 	            	Simbad
NGC 7052  	 	319.6377	+26.4469	 69.3	 8.58	 0.337	-25.67	284	   	14.7	    	  1	 	            	Simbad
NGC 7242  	 	333.9146	+37.2987	 84.4	 8.33	 0.415	-26.34	   	   	27.7	    	 15	B	            	Simbad
NGC 7265  	 	335.6145	+36.2098	 82.8	 8.69	 0.325	-25.93	258	   	16.0	    	 21	B	            	Simbad
NGC 7274  	 	336.0462	+36.1259	 82.8	 9.24	 0.295	-25.39	298	   	12.6	    	 21	 	            	Simbad
NGC 7386  	 	342.5089	+11.6987	 99.1	 9.42	 0.200	-25.58	   	   	11.6	38.1	  3	B	            	Simbad
NGC 7426  	 	344.0119	+36.3614	 80.0	 8.82	 0.337	-25.74	   	   	11.2	    	  4	B	            	Simbad
NGC 7436  	 	344.4897	+26.1500	106.6	 9.01	 0.250	-26.16	352	   	19.1	25.0	  8	B	            	Simbad
NGC 7550  	 	348.8170	+18.9614	 72.7	 8.91	 0.375	-25.43	255	   	12.4	28.0	  3	B	            	Simbad
NGC 7556  	 	348.9353	-02.3815	103.0	 9.25	 0.097	-25.83	268	   	16.9	26.4	  4	B	            	Simbad
NGC 7618  	 	349.9468	+42.8526	 76.3	 9.04	 0.609	-25.44	298	   	 9.8	    	 10	B	            	Simbad
NGC 7619  	 	350.0605	+08.2063	 54.0	 8.03	 0.224	-25.65	324	   	14.8	34.6	 12	B	            	Simbad
NGC 7626  	 	350.1772	+08.2170	 54.0	 8.03	 0.197	-25.65	274	   	20.1	26.7	 12	 	            	Simbad
NGC 7681  	 	352.2287	+17.3096	 96.8	 9.22	 0.149	-25.72	359	   	11.4	 5.5	  1	 	            	Simbad

