NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
UGC02229	02:45:27.56	+00:54:51.65	0.0243977	13.5702	V500+V1200 Completed	2013-09-04	UGC02229
UGC02239	02:46:35.68	+32:26:57.78	0.016088	14.4446	V500+V1200 Completed	2014-10-20	UGC02239
MCG-01-08-008	02:47:06.77	-02:58:21.19	0.025311	13.9125	V1200 Completed	2014-12-18	MCG-01-08-008
NGC1094	02:47:27.83	-00:17:06.47	0.0214657	13.0807	V500+V1200 Completed	2014-11-18	NGC1094
NGC1093	02:48:16.13	+34:25:11.35	0.017699	13.2845	V500+V1200 Completed	2013-11-07	NGC1093
UGC02311	02:49:27.94	-00:52:22.76	0.0238089	13.2236	V500+V1200 Completed	2014-10-30	UGC02311
UGC02319	02:49:53.59	-01:00:13.07	0.0233734	14.444	V500+V1200 Completed	2014-12-17	UGC02319
MCG-02-08-014	02:52:23.39	-08:30:37.49	0.0167912	14.0381	V500+V1200 Completed	2014-11-19	MCG-02-08-014
NGC1132	02:52:51.83	-01:16:29.14	0.023189	12.6409	V500+V1200 Completed	2014-11-20	NGC1132
UGC02367	02:53:41.21	+06:15:56.06	0.024627	13.4747	V500+V1200 Completed	2014-10-23	UGC02367
NGC1142	02:55:12.22	-00:11:00.82	0.028847	13.5608	V500+V1200 Completed	2014-11-19	NGC1142
UGC02403	02:55:57.25	+00:41:33.37	0.0137043	13.3842	V500+V1200 Completed	2013-10-27	UGC02403
UGC02405	02:55:57.57	+06:29:41.21	0.025694	14.0563	V500+V1200 Completed	2013-02-05	UGC02405
UGC02443	02:58:21.50	-02:02:30.76	0.008389	13.6418	V500+V1200 Completed	2014-11-26	UGC02443
UGC02465	03:00:37.42	+35:10:08.92	0.016952	13.3142	V500+V1200 Completed	2013-12-09	UGC02465
NGC1167	03:01:42.33	+35:12:20.21	0.016448	12.3079	V500+V1200 Completed	2011-09-30	NGC1167
NGC1194	03:03:49.10	-01:06:13.47	0.0135509	12.9889	V1200 Completed	2014-12-20	NGC1194
NGC1211	03:06:52.42	-00:47:40.17	0.0107463	12.4196	V500+V1200 Completed	2014-11-18	NGC1211
MCG-01-09-006	03:08:48.32	-07:02:26.19	0.0289199	13.9195	V500+V1200 Completed	2014-11-20	MCG-01-09-006
IC0307	03:13:45.21	-00:14:29.25	0.0260665	13.3696	V500+V1200 Completed	2014-12-18	IC0307
UGC02628	03:16:31.84	-00:28:05.31	0.0227331	14.0867	V500+V1200 Completed	2014-10-23	UGC02628
UGC02690	03:20:42.94	-01:06:31.09	0.020965	14.0605	V500+V1200 Completed	2014-11-23	UGC02690
NGC1324	03:25:01.68	-05:44:44.86	0.0189156	12.4748	V500+V1200 Completed	2014-10-24	NGC1324
NGC1349	03:31:27.51	+04:22:51.24	0.021995	13.2154	V500+V1200 Completed	2012-01-22	NGC1349
NGC1361	03:34:17.74	-06:15:53.98	0.0175553	13.3499	V500+V1200 Completed	2014-11-26	NGC1361
MCG-01-10-015	03:38:39.16	-05:20:50.45	0.0137662	13.9863	V500+V1200 Completed	2014-11-19	MCG-01-10-015
MCG-01-10-019	03:40:42.98	-06:24:54.56	0.017532	13.7945	V1200 Completed	2014-12-20	MCG-01-10-019
NGC1542	04:17:14.17	+04:46:54.23	0.012455	13.6348	V500+V1200 Completed	2013-01-07	NGC1542
UGC03038	04:25:01.31	+07:10:15.49	0.027	14.3549	V500+V1200 Completed	2013-02-05	UGC03038
UGC03107	04:37:21.85	+09:32:40.74	0.028289	14.6466	V500+V1200 Completed	2012-01-22	UGC03107
NGC1645	04:44:06.39	-05:27:56.41	0.016251	12.8439	V500+V1200 Completed	2013-02-05	NGC1645
UGC03151	04:45:19.63	+11:04:04.62	0.0146	13.9304	V500+V1200 Completed	2013-11-24	UGC03151
NGC1656	04:45:53.38	-05:08:12.20	0.012836	12.6472	V500+V1200 Completed	2014-10-29	NGC1656
NGC1659	04:46:29.94	-04:47:19.87	0.015234	12.7154	V500+V1200 Completed	2014-10-30	NGC1659
NGC1665	04:48:17.08	-05:25:39.39	0.009156	12.4565	V500+V1200 Completed	2014-10-23	NGC1665
