NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
UGC11982	22:18:52.94	-01:03:31.25	0.01624	14.987	V500+V1200 Completed	2013-07-08	UGC11982
UGC12054	22:29:32.44	+07:43:33.68	0.006981	14.4762	V500+V1200 Completed	2011-07-22	UGC12054
NGC7311	22:34:06.79	+05:34:13.16	0.01504	12.1491	V500+V1200 Completed	2011-08-31	NGC7311
NGC7321	22:36:28.02	+21:37:18.35	0.023763	12.9366	V500+V1200 Completed	2011-08-28	NGC7321
UGC12127	22:38:29.41	+35:19:46.89	0.027456	12.9418	V500+V1200 Completed	2010-07-09	UGC12127
NGC7364	22:44:24.36	-00:09:43.55	0.0161949	12.668	V500+V1200 Completed	2013-08-09	NGC7364
UGC12185	22:47:25.06	+31:22:24.67	0.022179	13.6297	V500+V1200 Completed	2010-07-16	UGC12185
UGC12224	22:52:38.36	+06:05:37.04	0.011764	13.505	V500+V1200 Completed	2012-07-20	UGC12224
VV488NED02	22:56:50.88	-08:58:03.13	0.0164483	13.8076	V500+V1200 Completed	2012-10-15	VV488NED02
NGC7436B	22:57:57.54	+26:09:00.01	0.0246	12.8114	V500+V1200 Completed	2012-06-21	NGC7436B
UGC12274	22:58:19.60	+26:03:42.97	0.025528	13.7007	V500+V1200 Completed	2012-08-21	UGC12274
UGC12308	23:01:18.68	+14:20:22.46	0.00755413	14.5243	V500+V1200 Completed	2012-08-21	UGC12308
NGC7466	23:02:03.46	+27:03:09.34	0.02506	13.5925	V500+V1200 Completed	2011-11-25	NGC7466
UGC12348	23:05:18.83	+00:11:22.23	0.025	13.4668	V500+V1200 Completed	2013-09-10	UGC12348
NGC7489	23:07:32.69	+22:59:53.12	0.020794	13.7323	V500+V1200 Completed	2012-08-22	NGC7489
NGC7536	23:14:13.18	+13:25:34.95	0.0156676	13.2549	V500+V1200 Completed	2012-08-22	NGC7536
NGC7550	23:15:16.07	+18:57:41.22	0.01692	12.257	V500+V1200 Completed	2011-11-27	NGC7550
NGC7549	23:15:17.26	+19:02:30.43	0.015731	13.3434	V500+V1200 Completed	2010-07-18	NGC7549
NGC7563	23:15:55.92	+13:11:46.04	0.0143488	12.5992	V500+V1200 Completed	2011-09-27	NGC7563
NGC7562	23:15:57.49	+06:41:15.15	0.011958	11.6487	V500+V1200 Completed	2012-09-15	NGC7562
UGC12494	23:18:52.56	+06:52:36.88	0.014013	14.6385	V500+V1200 Completed	2012-09-15	UGC12494
IC5309	23:19:11.64	+08:06:34.04	0.014006	13.7294	V500+V1200 Completed	2012-09-17	IC5309
NGC7608	23:19:15.30	+08:21:00.32	0.011738	13.8366	V500+V1200 Completed	2012-09-16	NGC7608
NGC7611	23:19:36.59	+08:03:48.06	0.011064	12.4301	V500+V1200 Completed	2012-11-16	NGC7611
UGC12519	23:20:02.76	+15:57:10.02	0.014607	13.6428	V500+V1200 Completed	2012-09-17	UGC12519
UGC12518	23:20:12.73	+07:55:55.91	0.009296	14.0258	V500+V1200 Completed	2013-07-10	UGC12518
NGC7619	23:20:14.51	+08:12:22.47	0.012635	11.4797	V500+V1200 Completed	2013-07-11	NGC7619
NGC7623	23:20:30.00	+08:23:44.77	0.012289	12.7189	V500+V1200 Completed	2013-08-10	NGC7623
NGC7625	23:20:30.14	+17:13:32.03	0.00542	12.1553	V500+V1200 Completed	2012-10-13	NGC7625
NGC7631	23:21:26.67	+08:13:03.46	0.012522	12.8518	V500+V1200 Completed	2013-09-08	NGC7631
NGC7653	23:24:49.35	+15:16:32.16	0.0142437	12.731	V500+V1200 Completed	2012-10-16	NGC7653
NGC7671	23:27:19.33	+12:28:02.67	0.013469	12.4942	V500+V1200 Completed	2012-12-13	NGC7671
NGC7683	23:29:03.82	+11:26:42.60	0.012392	12.3953	V500+V1200 Completed	2013-09-10	NGC7683
NGC7684	23:30:32.03	+00:04:51.83	0.0172408	12.8681	V500+V1200 Completed	2013-09-05	NGC7684
NGC7691	23:32:24.42	+15:50:52.27	0.0134544	13.2543	V500+V1200 Completed	2012-09-16	NGC7691
UGC12653	23:32:29.96	+14:49:00.62	0.013413	13.9256	V500+V1200 Completed	2013-09-07	UGC12653
UGC12688	23:35:26.09	+07:19:19.55	0.017425	14.1643	V500+V1200 Completed	2013-09-04	UGC12688
NGC7711	23:35:39.37	+15:18:07.08	0.013539	12.3239	V500+V1200 Completed	2013-10-25	NGC7711
NGC7716	23:36:31.45	+00:17:50.17	0.008546	12.2197	V500+V1200 Completed	2013-09-03	NGC7716
NGC7722	23:38:41.20	+15:57:16.69	0.0133859	12.3492	V500+V1200 Completed	2012-10-17	NGC7722
UGC12723	23:39:24.00	+10:51:00.18	0.018226	14.8993	V500+V1200 Completed	2013-08-09	UGC12723
NGC7738	23:44:02.05	+00:30:59.83	0.022847	13.0231	V500+V1200 Completed	2012-12-11	NGC7738
UGC12767	23:45:10.20	+07:02:31.59	0.017629	13.2221	V500+V1200 Completed	2013-08-10	UGC12767
UGC12810	23:51:06.25	+01:03:24.13	0.0269663	13.5753	V500+V1200 Completed	2013-08-10	UGC12810
UGC12816	23:51:50.68	+03:04:57.90	0.017782	14.0432	V500+V1200 Completed	2012-10-16	UGC12816
NGC7782	23:53:53.88	+07:58:14.14	0.017936	12.2676	V500+V1200 Completed	2012-09-17	NGC7782
NGC7783NED01	23:54:10.08	+00:22:58.29	0.0261662	12.979	V500+V1200 Completed	2012-09-16	NGC7783NED01
NGC7787	23:56:07.82	+00:32:58.14	0.022217	14.1668	V500+V1200 Completed	2013-10-04	NGC7787
UGC12857	23:56:47.52	+01:21:18.67	0.008202	13.4895	V500+V1200 Completed	2013-11-08	UGC12857
UGC12864	23:57:23.91	+30:59:31.45	0.015594	13.9578	V500+V1200 Completed	2011-11-26	UGC12864
MCG-01-01-012	23:59:10.80	-04:11:29.76	0.019273	13.8302	V500+V1200 Completed	2013-10-03	MCG-01-01-012
NGC7800	23:59:36.75	+14:48:25.04	0.00580447	13.1517	V500+V1200 Completed	2012-08-22	NGC7800
NGC5947	15:30:36	+42:43:01	0.01965	13.491	V500+V1200 Completed	2010-06-10	NGC5947
NGC4676B	12:46:11.20	+30:43:22.00	0.021776	16.1109	V500+V1200 Completed	2011-06-29	NGC4676B
